10:06:14,880 INFO  [org.jboss.as.security] (ServerService Thread Pool -- 54) JBAS013101: Activating Security Subsystem
10:06:18,300 INFO  [org.hornetq.core.server.impl.HornetQServerImpl] (MSC service thread 1-5) HornetQ Server version 2.2.13.Final (HQ_2_2_13_FINAL_AS7, 122) [7d4314b2-6bdd-11e4-8470-001999bf076c]) started
10:06:18,304 INFO  [org.hornetq.core.server.impl.HornetQServerImpl] (MSC service thread 1-14) trying to deploy queue jms.queue.testQueue
10:06:18,341 INFO  [org.jboss.as.deployment.connector] (MSC service thread 1-2) JBAS010406: Registered connection factory java:/JmsXA
10:06:18,349 INFO  [org.hornetq.ra.HornetQResourceAdapter] (MSC service thread 1-2) HornetQ resource adaptor started
10:06:18,350 INFO  [org.jboss.as.connector.services.ResourceAdapterActivatorService$ResourceAdapterActivator] (MSC service thread 1-2) IJ020002: Deployed: file://RaActivatorhornetq-ra
10:06:18,354 INFO  [org.jboss.as.deployment.connector] (MSC service thread 1-8) JBAS010401: Bound JCA ConnectionFactory [java:/JmsXA]
10:06:19,209 INFO  [org.jboss.as.messaging] (MSC service thread 1-14) JBAS011601: Bound messaging object to jndi name java:/queue/test
10:06:19,213 INFO  [org.jboss.as.messaging] (MSC service thread 1-14) JBAS011601: Bound messaging object to jndi name java:jboss/exported/jms/queue/test
10:06:19,218 INFO  [org.jboss.as.messaging] (MSC service thread 1-3) JBAS011601: Bound messaging object to jndi name java:/ConnectionFactory
10:06:19,220 INFO  [org.jboss.as.messaging] (MSC service thread 1-16) JBAS011601: Bound messaging object to jndi name java:jboss/exported/jms/RemoteConnectionFactory
10:06:19,223 INFO  [org.jboss.as.messaging] (MSC service thread 1-16) JBAS011601: Bound messaging object to jndi name java:/RemoteConnectionFactory
10:06:19,225 INFO  [org.hornetq.core.server.impl.HornetQServerImpl] (MSC service thread 1-11) trying to deploy queue jms.topic.testTopic
10:06:20,004 INFO  [org.jboss.as.messaging] (MSC service thread 1-11) JBAS011601: Bound messaging object to jndi name java:/topic/test
10:06:20,008 INFO  [org.jboss.as.messaging] (MSC service thread 1-11) JBAS011601: Bound messaging object to jndi name java:jboss/exported/jms/topic/test
10:06:20,046 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-12) JBAS015876: Starting deployment of "dashboard-builder.war"
10:06:20,047 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-2) JBAS015876: Starting deployment of "jbpm-console.war"
10:06:37,478 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-14) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.lang:main") which may be changed or removed in future versions without notice.
10:06:37,481 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-14) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.lang:main") which may be changed or removed in future versions without notice.
10:06:37,484 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-14) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.io:main") which may be changed or removed in future versions without notice.
10:06:37,489 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-14) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.io:main") which may be changed or removed in future versions without notice.
10:06:37,492 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-14) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.collections:main") which may be changed or removed in future versions without notice.
10:06:37,497 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-14) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.collections:main") which may be changed or removed in future versions without notice.
10:06:37,500 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-14) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.codec:main") which may be changed or removed in future versions without notice.
10:06:37,503 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-14) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.codec:main") which may be changed or removed in future versions without notice.
10:06:37,507 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-14) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.jboss.ironjacamar.jdbcadapters:main") which may be changed or removed in future versions without notice.
10:06:37,510 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-14) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.jboss.ironjacamar.jdbcadapters:main") which may be changed or removed in future versions without notice.
10:06:37,566 INFO  [org.jboss.weld.deployer] (MSC service thread 1-9) JBAS016002: Processing weld deployment dashboard-builder.war
10:06:37,645 INFO  [org.jboss.weld.deployer] (MSC service thread 1-12) JBAS016005: Starting Services for CDI deployment: dashboard-builder.war
10:06:37,682 INFO  [org.jboss.weld.Version] (MSC service thread 1-12) WELD-000900 1.1.5 (AS71)
10:06:37,705 INFO  [org.jboss.weld.deployer] (MSC service thread 1-16) JBAS016008: Starting weld service for deployment dashboard-builder.war
10:06:38,834 INFO  [org.jboss.dashboard.ui.controller.ControllerServlet] (MSC service thread 1-14) Application Directory: C:/betsy_master/server/jbpm/jboss-as-7.1.1.Final/standalone/tmp/vfs/temp161a12f42b740568/dashboard-builder.war-8024f8faee4c9641/.
10:06:38,838 INFO  [org.jboss.dashboard.ui.controller.ControllerServlet] (MSC service thread 1-14) Application Config Directory: C:/betsy_master/server/jbpm/jboss-as-7.1.1.Final/standalone/tmp/vfs/temp161a12f42b740568/dashboard-builder.war-8024f8faee4c9641/./WEB-INF/etc
10:06:38,858 INFO  [org.jboss.dashboard.factory.Factory] (MSC service thread 1-14) Configuring Factory from directory: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\factory
10:06:38,910 INFO  [org.jboss.dashboard.factory.Factory] (MSC service thread 1-14) Factory configured.
10:06:39,021 INFO  [org.hibernate.annotations.common.Version] (MSC service thread 1-14) HCANN000001: Hibernate Commons Annotations {4.0.1.Final}
10:06:39,026 INFO  [org.hibernate.Version] (MSC service thread 1-14) HHH000412: Hibernate Core {4.0.1.Final}
10:06:39,028 INFO  [org.hibernate.cfg.Environment] (MSC service thread 1-14) HHH000206: hibernate.properties not found
10:06:39,030 INFO  [org.hibernate.cfg.Environment] (MSC service thread 1-14) HHH000021: Bytecode provider name : javassist
10:06:39,040 INFO  [org.hibernate.cfg.Configuration] (MSC service thread 1-14) HHH000042: Configuring from file: hibernate.cfg.xml
10:06:39,063 INFO  [org.hibernate.cfg.Configuration] (MSC service thread 1-14) HHH000041: Configured SessionFactory: null
10:06:43,920 INFO  [org.jboss.dashboard.database.hibernate.HibernateInitializer] (MSC service thread 1-14) The underlying database is: h2
10:06:44,207 INFO  [org.hibernate.dialect.Dialect] (MSC service thread 1-14) HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
10:06:44,212 WARN  [org.hibernate.dialect.H2Dialect] (MSC service thread 1-14) HHH000431: Unable to determine H2 database version, certain features may not work
10:06:44,216 INFO  [org.hibernate.engine.jdbc.internal.LobCreatorBuilder] (MSC service thread 1-14) HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [3] less than 4
10:06:44,223 INFO  [org.hibernate.engine.transaction.internal.TransactionFactoryInitiator] (MSC service thread 1-14) HHH000399: Using default transaction strategy (direct JDBC transactions)
10:06:44,227 INFO  [org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory] (MSC service thread 1-14) HHH000397: Using ASTQueryTranslatorFactory
10:06:44,253 INFO  [org.hibernate.validator.util.Version] (MSC service thread 1-14) Hibernate Validator 4.2.0.Final
10:06:44,509 WARN  [org.jboss.dashboard.database.DatabaseAutoSynchronizer] (MSC service thread 1-14) Running file 1-create-h2.sql
10:06:44,666 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Loading panels. Scanning dir: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\WEB-INF\etc\panels
10:06:44,672 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\dashboard\dashb_filter.panel
10:06:44,699 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\dashboard\dashb_html_editor.panel
10:06:44,704 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\dashboard\dashb_kpi.panel
10:06:44,709 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\dashboard\dashb_providermgr.panel
10:06:44,714 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\navigation\breadCrumb\breadCrumb.panel
10:06:44,719 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\navigation\logout\logout.panel
10:06:44,723 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\navigation\navigator_language_horiz.panel
10:06:44,728 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\navigation\navigator_sections.panel
10:06:44,732 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\navigation\navigator_sections_horiz.panel
10:06:44,736 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\navigation\navigator_sections_vert.panel
10:06:44,741 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\navigation\navigator_workspace.panel
10:06:44,745 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\navigation\navigator_workspace_horiz.panel
10:06:44,749 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\navigation\navigator_workspace_vert.panel
10:06:44,754 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\navigation\tree\treeMenu.panel
10:06:44,758 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\system\dashboardExport\dashb_export.panel
10:06:44,763 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\system\dashboardImport\dashb_import.panel
10:06:44,768 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\system\dataSourceManagement\DataSourceManager.panel
10:06:44,773 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-14) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\panels\system\workspaceExport\workspaceImportexport.panel
10:06:44,949 INFO  [org.jboss.dashboard.cluster.ClusterNodesManager] (MSC service thread 1-14) Registering cluster node with ip address fe80:0:0:0:c92b:767a:4f9b:f35%17
10:06:44,973 INFO  [org.jboss.dashboard.cluster.ClusterNodesManager] (MSC service thread 1-14) Successfuly resgister cluster node with ip address fe80:0:0:0:c92b:767a:4f9b:f35%17 and identifier 1000
10:06:44,975 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Starting org.jboss.dashboard.workspace.LayoutsManagerImpl
10:06:44,982 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\layouts\Default_Layout.zip
10:06:45,006 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\layouts\Default_template_with_sliding_menu.zip
10:06:45,034 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\layouts\jbpmLayout.zip
10:06:45,043 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\layouts\Template_25-50-25.zip
10:06:45,052 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\layouts\Template_25-75.zip
10:06:45,074 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\layouts\Template_75-25.zip
10:06:45,084 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-14) Deploying files for org.jboss.dashboard.ui.resources.Layout Default_Layout
10:06:45,245 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-14) Deploying files for org.jboss.dashboard.ui.resources.Layout Default_template_with_sliding_menu
10:06:45,334 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-14) Deploying files for org.jboss.dashboard.ui.resources.Layout Template_25-50-25
10:06:45,527 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-14) Deploying files for org.jboss.dashboard.ui.resources.Layout Template_25-75
10:06:45,622 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-14) Deploying files for org.jboss.dashboard.ui.resources.Layout Template_75-25
10:06:45,726 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-14) Deploying files for org.jboss.dashboard.ui.resources.Layout jbpmLayout
10:06:45,982 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Starting org.jboss.dashboard.workspace.EnvelopesManagerImpl
10:06:45,987 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Deploying to database Envelope C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\envelopes\Default_Envelope.zip
10:06:45,998 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Deploying to database Envelope C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\envelopes\jbpmEnvelope.zip
10:06:46,008 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-14) Deploying files for org.jboss.dashboard.ui.resources.Envelope Default_Envelope
10:06:46,297 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-14) Deploying files for org.jboss.dashboard.ui.resources.Envelope jbpmEnvelope
10:06:46,408 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Starting org.jboss.dashboard.workspace.ResourceGalleryManagerImpl
10:06:46,417 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Starting org.jboss.dashboard.workspace.SkinsManagerImpl
10:06:46,431 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-14) Deploying to database Skin C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp161a12f42b740568\dashboard-builder.war-8024f8faee4c9641\.\WEB-INF\etc\skins\Default_Skin.zip
10:06:46,439 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-14) Deploying files for org.jboss.dashboard.ui.resources.Skin Default_Skin
10:06:46,627 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) Parsing KPI's XML file: WEB-INF/etc/appdata/initialData/showcaseKPIs.xml
10:06:47,058 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-14) Freed 91.821 Mb bytes. Total = 293.125 Mb. Free = 201.881 Mb (68.872025%)
10:06:47,218 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-14) Freed -8996368 bytes bytes. Total = 246.375 Mb. Free = 193.302 Mb (78.458244%)
10:06:47,357 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-14) Freed 44.711 Mb bytes. Total = 292.812 Mb. Free = 238.012 Mb (81.28484%)
10:06:47,507 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-14) Freed 1.106 Mb bytes. Total = 292.875 Mb. Free = 239.119 Mb (81.64527%)
10:06:47,657 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-14) Freed 1.353 Mb bytes. Total = 294.062 Mb. Free = 240.471 Mb (81.77553%)
10:06:47,879 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-14) Freed 8.37 Mb bytes. Total = 293.25 Mb. Free = 239.099 Mb (81.53422%)
10:06:48,024 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-14) Freed -2354368 bytes bytes. Total = 291.812 Mb. Free = 236.854 Mb (81.166435%)
10:06:48,220 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-14) Freed -37128264 bytes bytes. Total = 250 Mb. Free = 194.018 Mb (77.60708%)
10:06:48,389 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00000 - Data provider created. dataprovider_63791223772073037, Expense reports demo.
10:06:48,392 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00000 - Data provider created. dataprovider_29881353499006573, Sales dashboard demo.
10:06:48,396 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00001 - Business indicator created. kpi_64011223773089901, Expense evolution.
10:06:48,398 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00001 - Business indicator created. kpi_30301353506280659, Expected pipeline.
10:06:48,400 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00001 - Business indicator created. kpi_30361353506582145, By status.
10:06:48,404 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00001 - Business indicator created. kpi_30651353683614640, By sales person.
10:06:48,406 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00001 - Business indicator created. kpi_30331353506453066, By sales person.
10:06:48,408 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00001 - Business indicator created. kpi_30831353686700387, By product.
10:06:48,411 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00001 - Business indicator created. kpi_30391353506887646, By product.
10:06:48,413 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00001 - Business indicator created. kpi_30801353685378049, By customer.
10:06:48,415 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00001 - Business indicator created. kpi_30281353675541472, By country.
10:06:48,417 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-14) BAM_00001 - Business indicator created. kpi_21591363786594721, Amount by status.
