11:02:35,204 INFO  [org.jboss.as.osgi] (ServerService Thread Pool -- 49) JBAS011940: Activating OSGi Subsystem
11:02:44,173 INFO  [org.jboss.as.messaging] (MSC service thread 1-7) JBAS011601: Bound messaging object to jndi name java:/queue/test
11:02:44,176 INFO  [org.jboss.as.messaging] (MSC service thread 1-7) JBAS011601: Bound messaging object to jndi name java:jboss/exported/jms/queue/test
11:02:44,180 INFO  [org.hornetq.core.server.impl.HornetQServerImpl] (MSC service thread 1-15) trying to deploy queue jms.topic.testTopic
11:02:44,783 INFO  [org.jboss.as.messaging] (MSC service thread 1-15) JBAS011601: Bound messaging object to jndi name java:/topic/test
11:02:44,788 INFO  [org.jboss.as.messaging] (MSC service thread 1-15) JBAS011601: Bound messaging object to jndi name java:jboss/exported/jms/topic/test
11:02:44,800 INFO  [org.jboss.as.messaging] (MSC service thread 1-11) JBAS011601: Bound messaging object to jndi name java:jboss/exported/jms/RemoteConnectionFactory
11:02:44,803 INFO  [org.jboss.as.messaging] (MSC service thread 1-11) JBAS011601: Bound messaging object to jndi name java:/RemoteConnectionFactory
11:02:44,806 INFO  [org.jboss.as.messaging] (MSC service thread 1-6) JBAS011601: Bound messaging object to jndi name java:/ConnectionFactory
11:02:44,839 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-13) JBAS015876: Starting deployment of "dashboard-builder.war"
11:02:44,839 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-14) JBAS015876: Starting deployment of "jbpm-console.war"
11:02:57,582 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-7) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.lang:main") which may be changed or removed in future versions without notice.
11:02:57,586 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-7) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.lang:main") which may be changed or removed in future versions without notice.
11:02:57,589 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-7) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.io:main") which may be changed or removed in future versions without notice.
11:02:57,592 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-7) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.io:main") which may be changed or removed in future versions without notice.
11:02:57,595 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-7) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.collections:main") which may be changed or removed in future versions without notice.
11:02:57,599 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-7) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.collections:main") which may be changed or removed in future versions without notice.
11:02:57,602 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-7) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.codec:main") which may be changed or removed in future versions without notice.
11:02:57,607 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-7) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.apache.commons.codec:main") which may be changed or removed in future versions without notice.
11:02:57,610 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-7) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.jboss.ironjacamar.jdbcadapters:main") which may be changed or removed in future versions without notice.
11:02:57,613 WARN  [org.jboss.as.dependency.private] (MSC service thread 1-7) JBAS018567: Deployment "deployment.dashboard-builder.war" is using a private module ("org.jboss.ironjacamar.jdbcadapters:main") which may be changed or removed in future versions without notice.
11:02:57,665 INFO  [org.jboss.weld.deployer] (MSC service thread 1-13) JBAS016002: Processing weld deployment dashboard-builder.war
11:02:57,759 INFO  [org.jboss.weld.deployer] (MSC service thread 1-11) JBAS016005: Starting Services for CDI deployment: dashboard-builder.war
11:02:57,797 INFO  [org.jboss.weld.Version] (MSC service thread 1-11) WELD-000900 1.1.5 (AS71)
11:02:57,824 INFO  [org.jboss.weld.deployer] (MSC service thread 1-7) JBAS016008: Starting weld service for deployment dashboard-builder.war
11:02:59,039 INFO  [org.jboss.dashboard.ui.controller.ControllerServlet] (MSC service thread 1-15) Application Directory: C:/betsy_master/server/jbpm/jboss-as-7.1.1.Final/standalone/tmp/vfs/temp142541346ba1d06d/dashboard-builder.war-5685360dfc33f367/.
11:02:59,045 INFO  [org.jboss.dashboard.ui.controller.ControllerServlet] (MSC service thread 1-15) Application Config Directory: C:/betsy_master/server/jbpm/jboss-as-7.1.1.Final/standalone/tmp/vfs/temp142541346ba1d06d/dashboard-builder.war-5685360dfc33f367/./WEB-INF/etc
11:02:59,066 INFO  [org.jboss.dashboard.factory.Factory] (MSC service thread 1-15) Configuring Factory from directory: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\factory
11:02:59,117 INFO  [org.jboss.dashboard.factory.Factory] (MSC service thread 1-15) Factory configured.
11:02:59,222 INFO  [org.hibernate.annotations.common.Version] (MSC service thread 1-15) HCANN000001: Hibernate Commons Annotations {4.0.1.Final}
11:02:59,227 INFO  [org.hibernate.Version] (MSC service thread 1-15) HHH000412: Hibernate Core {4.0.1.Final}
11:02:59,229 INFO  [org.hibernate.cfg.Environment] (MSC service thread 1-15) HHH000206: hibernate.properties not found
11:02:59,231 INFO  [org.hibernate.cfg.Environment] (MSC service thread 1-15) HHH000021: Bytecode provider name : javassist
11:02:59,241 INFO  [org.hibernate.cfg.Configuration] (MSC service thread 1-15) HHH000042: Configuring from file: hibernate.cfg.xml
11:02:59,264 INFO  [org.hibernate.cfg.Configuration] (MSC service thread 1-15) HHH000041: Configured SessionFactory: null
11:03:02,499 INFO  [org.jboss.dashboard.database.hibernate.HibernateInitializer] (MSC service thread 1-15) The underlying database is: h2
11:03:02,770 INFO  [org.hibernate.dialect.Dialect] (MSC service thread 1-15) HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
11:03:02,775 WARN  [org.hibernate.dialect.H2Dialect] (MSC service thread 1-15) HHH000431: Unable to determine H2 database version, certain features may not work
11:03:02,779 INFO  [org.hibernate.engine.jdbc.internal.LobCreatorBuilder] (MSC service thread 1-15) HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [3] less than 4
11:03:02,786 INFO  [org.hibernate.engine.transaction.internal.TransactionFactoryInitiator] (MSC service thread 1-15) HHH000399: Using default transaction strategy (direct JDBC transactions)
11:03:02,791 INFO  [org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory] (MSC service thread 1-15) HHH000397: Using ASTQueryTranslatorFactory
11:03:02,813 INFO  [org.hibernate.validator.util.Version] (MSC service thread 1-15) Hibernate Validator 4.2.0.Final
11:03:03,074 WARN  [org.jboss.dashboard.database.DatabaseAutoSynchronizer] (MSC service thread 1-15) Running file 1-create-h2.sql
11:03:03,261 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Loading panels. Scanning dir: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\WEB-INF\etc\panels
11:03:03,269 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\dashboard\dashb_filter.panel
11:03:03,297 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\dashboard\dashb_html_editor.panel
11:03:03,302 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\dashboard\dashb_kpi.panel
11:03:03,307 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\dashboard\dashb_providermgr.panel
11:03:03,312 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\navigation\breadCrumb\breadCrumb.panel
11:03:03,317 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\navigation\logout\logout.panel
11:03:03,322 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\navigation\navigator_language_horiz.panel
11:03:03,327 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\navigation\navigator_sections.panel
11:03:03,331 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\navigation\navigator_sections_horiz.panel
11:03:03,336 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\navigation\navigator_sections_vert.panel
11:03:03,340 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\navigation\navigator_workspace.panel
11:03:03,345 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\navigation\navigator_workspace_horiz.panel
11:03:03,349 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\navigation\navigator_workspace_vert.panel
11:03:03,354 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\navigation\tree\treeMenu.panel
11:03:03,359 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\system\dashboardExport\dashb_export.panel
11:03:03,363 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\system\dashboardImport\dashb_import.panel
11:03:03,368 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\system\dataSourceManagement\DataSourceManager.panel
11:03:03,373 INFO  [org.jboss.dashboard.workspace.PanelsProvidersManagerImpl] (MSC service thread 1-15) Reading file: C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\panels\system\workspaceExport\workspaceImportexport.panel
11:03:03,559 INFO  [org.jboss.dashboard.cluster.ClusterNodesManager] (MSC service thread 1-15) Registering cluster node with ip address fe80:0:0:0:c92b:767a:4f9b:f35%17
11:03:03,584 INFO  [org.jboss.dashboard.cluster.ClusterNodesManager] (MSC service thread 1-15) Successfuly resgister cluster node with ip address fe80:0:0:0:c92b:767a:4f9b:f35%17 and identifier 1000
11:03:03,586 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Starting org.jboss.dashboard.workspace.LayoutsManagerImpl
11:03:03,593 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\layouts\Default_Layout.zip
11:03:03,621 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\layouts\Default_template_with_sliding_menu.zip
11:03:03,646 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\layouts\jbpmLayout.zip
11:03:03,655 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\layouts\Template_25-50-25.zip
11:03:03,664 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\layouts\Template_25-75.zip
11:03:03,673 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Deploying to database Layout C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\layouts\Template_75-25.zip
11:03:03,682 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-15) Deploying files for org.jboss.dashboard.ui.resources.Layout Default_Layout
11:03:03,759 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-15) Deploying files for org.jboss.dashboard.ui.resources.Layout Default_template_with_sliding_menu
11:03:03,830 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-15) Deploying files for org.jboss.dashboard.ui.resources.Layout Template_25-50-25
11:03:03,924 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-15) Deploying files for org.jboss.dashboard.ui.resources.Layout Template_25-75
11:03:03,990 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-15) Deploying files for org.jboss.dashboard.ui.resources.Layout Template_75-25
11:03:04,017 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-15) Deploying files for org.jboss.dashboard.ui.resources.Layout jbpmLayout
11:03:04,195 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Starting org.jboss.dashboard.workspace.EnvelopesManagerImpl
11:03:04,199 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Deploying to database Envelope C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\envelopes\Default_Envelope.zip
11:03:04,210 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Deploying to database Envelope C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\envelopes\jbpmEnvelope.zip
11:03:04,221 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-15) Deploying files for org.jboss.dashboard.ui.resources.Envelope Default_Envelope
11:03:04,369 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-15) Deploying files for org.jboss.dashboard.ui.resources.Envelope jbpmEnvelope
11:03:04,513 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Starting org.jboss.dashboard.workspace.ResourceGalleryManagerImpl
11:03:04,517 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Starting org.jboss.dashboard.workspace.SkinsManagerImpl
11:03:04,522 INFO  [org.jboss.dashboard.workspace.GraphicElementManagerImpl] (MSC service thread 1-15) Deploying to database Skin C:\betsy_master\server\jbpm\jboss-as-7.1.1.Final\standalone\tmp\vfs\temp142541346ba1d06d\dashboard-builder.war-5685360dfc33f367\.\WEB-INF\etc\skins\Default_Skin.zip
11:03:04,530 INFO  [org.jboss.dashboard.ui.resources.GraphicElement] (MSC service thread 1-15) Deploying files for org.jboss.dashboard.ui.resources.Skin Default_Skin
11:03:04,724 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) Parsing KPI's XML file: WEB-INF/etc/appdata/initialData/showcaseKPIs.xml
11:03:05,147 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-15) Freed 7.331 Mb bytes. Total = 246.688 Mb. Free = 155.279 Mb (62.945618%)
11:03:05,308 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-15) Freed 84.788 Mb bytes. Total = 292.562 Mb. Free = 239.377 Mb (81.82068%)
11:03:05,475 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-15) Freed 557.961 Kb bytes. Total = 292.75 Mb. Free = 239.922 Mb (81.9544%)
11:03:05,620 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-15) Freed -315872 bytes bytes. Total = 292.812 Mb. Free = 239.62 Mb (81.83403%)
11:03:05,760 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-15) Freed -49509688 bytes bytes. Total = 245.812 Mb. Free = 191.713 Mb (77.991394%)
11:03:05,988 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-15) Freed 50.967 Mb bytes. Total = 288.812 Mb. Free = 234.373 Mb (81.15065%)
11:03:06,133 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-15) Freed -44533080 bytes bytes. Total = 245.75 Mb. Free = 191.903 Mb (78.088776%)
11:03:06,196 INFO  [org.jboss.dashboard.profiler.memory.MemoryProfiler] (MSC service thread 1-15) Freed 51.239 Mb bytes. Total = 290.625 Mb. Free = 235.133 Mb (80.905914%)
11:03:06,365 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00000 - Data provider created. dataprovider_63791223772073037, Expense reports demo.
11:03:06,367 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00000 - Data provider created. dataprovider_29881353499006573, Sales dashboard demo.
11:03:06,370 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_64011223773089901, Expense evolution.
11:03:06,372 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_30301353506280659, Expected pipeline.
11:03:06,374 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_30361353506582145, By status.
11:03:06,376 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_30651353683614640, By sales person.
11:03:06,378 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_30331353506453066, By sales person.
11:03:06,380 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_30831353686700387, By product.
11:03:06,382 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_30391353506887646, By product.
11:03:06,385 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_30801353685378049, By customer.
11:03:06,387 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_30281353675541472, By country.
11:03:06,389 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_21591363786594721, Amount by status.
11:03:06,391 INFO  [org.jboss.dashboard.kpi.KPIInitialModule] (MSC service thread 1-15) BAM_00001 - Business indicator created. kpi_30861353687605533, Amount by probability (%).
